,0,1
0,200,250
1,448,296
2,561,296
3,769,296
4,514,361
5,769,413
6,200,442
7,447,478
8,534,478
9,926,503
10,447,517
11,534,517
12,769,512
13,769,553
14,810,553
15,447,651
16,535,651
17,645,651
18,201,800
19,449,800
20,646,800
21,769,800
22,992,757
